,0,1,2,3,4,5,6,7,8
142,Citroen,C-Crosser,2010,9999,223 тис. км,Ковель ( від ),"Дизель, 2.2 л.",Ручна / Механіка,False
143,Lexus,LS 500,2018,69500,75 тис. км,Тернопіль ( від ),"Бензин, 3.4 л.",Автомат,True
144,BMW,2 Series Gran Tourer,2015,14700,151 тис. км,Житомир ( від ),"Дизель, 1.5 л.",Автомат,False
145,Audi,Q7,2016,49500,185 тис. км,Київ ( від ),"Дизель, 3 л.",Автомат,False
146,Mazda,6,2017,20900,75 тис. км,Київ ( від ),"Бензин, 2.5 л.",Автомат,False
147,Audi,A8,2013,55000,57 тис. км,Харків ( від ),"Бензин, 4 л.",Автомат,False
148,Renault,Megane,2006,5250,166 тис. км,Львів ( від ),"Бензин, 1.6 л.",Ручна / Механіка,False
149,Volkswagen,Golf VII,2015,10999,131 тис. км,Хмельницький ( від ),"Бензин, 1.8 л.",Ручна / Механіка,True
150,Kia,Sportage,2021,20913,без пробега,Днепр (Днепропетровск) ( від ),"Бензин, 1.6 л.",Автомат,False
151,Ford,Ranger,2020,45827,без пробега,Киев ( від ),"Дизель, 2.0 л.",Автомат,False
152,Mercedes-Benz,GLE 400,2021,107555,без пробега,Киев ( від ),"Дизель, 2.9 л.",Автомат,False
153,Mercedes-Benz,E-Class,2021,78702,без пробега,Одесса ( від ),"Дизель, 2.0 л.",Автомат,False
154,Volvo,S90,2020,60578,без пробега,Киев ( від ),"Бензин, 2.0 л.",Автомат,False
155,Porsche,Macan,2021,78753,без пробега,Киев ( від ),"Бензин, 2.0 л.",Автомат,False
156,Suzuki,Jimny,2021,22262,без пробега,Хмельницкий ( від ),"Бензин, 1.5 л.",Механическая,False
157,Maserati,Quattroporte,2021,208297,без пробега,Киев ( від ),"Бензин, 3.8 л.",Автомат,False
158,Volkswagen,Touareg,2021,61300,без пробега,Хмельницкий ( від ),"Дизель, 3.0 л.",Автомат,False
159,Skoda,Octavia A7,2020,23177,без пробега,Днепр (Днепропетровск) ( від ),"Бензин, 1.4 л.",Роботизированная,False
160,JAC,J7,2021,17849,без пробега,Сумы ( від ),"Бензин, 1.5 л.",Механическая,False
161,Maserati,Ghibli,2021,172804,без пробега,Киев ( від ),"Бензин, 3.8 л.",Автомат,False
162,Infiniti,QX50,2020,44057,без пробега,Хмельницкий ( від ),"Бензин, 2.0 л.",Вариатор,False
163,Mercedes-Benz,GLS 400,2021,135500,без пробега,Киев ( від ),"Дизель, 2.9 л.",Автомат,False
164,Land Rover,Range Rover,2021,234229,без пробега,Киев ( від ),"Бензин, 5.0 л.",Автомат,False
165,Jaguar,F-Pace,2021,77511,без пробега,Киев ( від ),"Бензин, 2.0 л.",Автомат,False
166,Mitsubishi,Eclipse Cross,2020,31646,без пробега,Одесса ( від ),"Бензин, 1.5 л.",Вариатор,False
167,Land Rover,Range Rover,2021,195391,без пробега,Киев ( від ),"Бензин, 5.0 л.",Автомат,False
168,Skoda,Scala,2020,22732,без пробега,Днепр (Днепропетровск) ( від ),"Бензин, 1.5 л.",Автомат,False
169,Volvo,XC40,2021,43512,без пробега,Одесса ( від ),"Бензин, 1.5 л.",Автомат,False
170,Porsche,Cayenne Coupe,2021,172936,без пробега,Львов ( від ),"Бензин, 4.0 л.",Автомат,False
171,Volvo,XC40,2020,50248,без пробега,Киев ( від ),"Дизель, 2.0 л.",Автомат,False
172,Mazda,CX-9,2021,42703,без пробега,Ивано-Франковск ( від ),"Бензин, 2.5 л.",Автомат,False
173,Kia,Sportage,2021,19718,без пробега,Днепр (Днепропетровск) ( від ),"Бензин, 1.6 л.",Механическая,False
174,Kia,Sportage,2021,22142,без пробега,Житомир ( від ),"Бензин, 1.6 л.",Механическая,False
175,Citroen,Berlingo пасс.,2020,21084,без пробега,Черкассы ( від ),"Дизель, 1.6 л.",Механическая,False
176,Volvo,XC60,2020,68883,без пробега,Одесса ( від ),"Гибрид, 2.0 л.",Автомат,False
177,Porsche,Cayenne,2020,115263,без пробега,Харьков ( від ),"Бензин, 0.0 л.",Типтроник,False
178,Land Rover,Range Rover,2021,198377,без пробега,Киев ( від ),"Бензин, 5.0 л.",Автомат,False
179,Land Rover,Range Rover,2021,220818,без пробега,Киев ( від ),"Бензин, 5.0 л.",Автомат,False
180,Suzuki,SX4,2021,22080,без пробега,Харьков ( від ),"Бензин, 1.6 л.",Автомат,False
181,BMW,320,2011,11400,258 тис. км,Луцьк ( від ),"Дизель, 2 л.",Автомат,False
182,Toyota,Land Cruiser 200,2013,43777,159 тис. км,Київ ( від ),"Дизель, 4.5 л.",Автомат,False
183,Land Rover,Range Rover,2021,235159,без пробега,Киев ( від ),"Бензин, 5.0 л.",Автомат,False
184,Land Rover,Range Rover,2021,200502,без пробега,Киев ( від ),"Дизель, 4.4 л.",Автомат,False
185,Land Rover,Range Rover,2021,198377,без пробега,Киев ( від ),"Дизель, 4.4 л.",Автомат,False
186,Land Rover,Range Rover,2021,296106,без пробега,Киев ( від ),"Бензин, 5.0 л.",Автомат,False
187,Land Rover,Range Rover,2021,298496,без пробега,Киев ( від ),"Бензин, 5.0 л.",Автомат,False
188,Land Rover,Range Rover,2021,211525,без пробега,Киев ( від ),"Бензин, 5.0 л.",Автомат,False
189,Land Rover,Range Rover,2021,211524,без пробега,Киев ( від ),"Дизель, 4.4 л.",Автомат,False
190,Mercedes-Benz,GLE 400,2021,125480,без пробега,Киев ( від ),"Дизель, 2.9 л.",Автомат,False
191,Land Rover,Range Rover,2021,274863,без пробега,Киев ( від ),"Бензин, 5.0 л.",Автомат,False
192,Land Rover,Range Rover,2021,239009,без пробега,Киев ( від ),"Бензин, 5.0 л.",Автомат,False
193,Kia,Sportage,2009,8999,157 тис. км,Дрогобич ( від ),"Дизель, 2 л.",Ручна / Механіка,False
194,Chevrolet,Cruze,2012,10500,150 тис. км,Дніпро (Дніпропетровськ) ( від ),"Газ / Бензин, 1.8 л.",Автомат,False
195,Daewoo,Lanos,2007,3200,120 тис. км,Чаплинка ( від ),"Газ / Бензин, 1.5 л.",Ручна / Механіка,False
196,Subaru,XV,2021,36362,без пробега,Киев ( від ),"Бензин, 2.0 л.",Вариатор,False
197,Toyota,RAV4,2011,15000,155 тис. км,Одеса ( від ),"Газ / Бензин, 2 л.",Варіатор,True
198,Nissan,Rogue,2014,14000,76 тис. км,Дніпро (Дніпропетровськ) ( від ),"Бензин, 2.5 л.",Варіатор,True
199,Infiniti,FX 30,2011,22500,133 тис. км,Одеса ( від ),"Дизель, 3 л.",Автомат,False
200,BMW,320,1999,4350,388 тис. км,Львів ( від ),"Бензин, 2 л.",Ручна / Механіка,False
201,Volvo,XC40,2020,56335,без пробега,Херсон ( від ),"Дизель, 2.0 л.",Автомат,False
202,Land Rover,Range Rover,2021,227000,2 тис. км,Київ ( від ),Бензин,Типтронік,False
203,Land Rover,Range Rover,2021,221083,без пробега,Киев ( від ),"Бензин, 5.0 л.",Автомат,False
204,Porsche,Taycan,2021,129996,без пробега,Одесса ( від ),"Электро, 0.0 л.",Автомат,False
205,Peugeot,Rifter,2021,24273,без пробега,Винница ( від ),"Дизель, 1.6 л.",Механическая,False
206,Ford,EcoSport,2020,20107,без пробега,Полтава ( від ),"Бензин, 1.0 л.",Автомат,False
207,Mazda,6,2021,36790,без пробега,Винница ( від ),"Бензин, 2.5 л.",Автомат,False
208,Mitsubishi,Outlander,2020,31391,без пробега,Харьков ( від ),"Бензин, 2.4 л.",Вариатор,False
209,Peugeot,3008,2021,40914,без пробега,Киев ( від ),"Дизель, 2.0 л.",Автомат,False
210,BMW,X3,2020,59751,без пробега,Ивано-Франковск ( від ),"Дизель, 2.0 л.",Автомат,False
211,Suzuki,Vitara,2021,21605,без пробега,Харьков ( від ),"Бензин, 1.6 л.",Автомат,False
212,Mercedes-Benz,S-Class,2021,215108,без пробега,Киев ( від ),"Дизель, 2.9 л.",Автомат,False
213,Audi,SQ7,2021,134444,без пробега,Киев ( від ),"Бензин, 4.0 л.",Типтроник,False
214,Subaru,Forester,2021,37589,без пробега,Киев ( від ),"Бензин, 2.0 л.",Вариатор,False
215,Citroen,C3 Aircross,2020,21455,без пробега,Винница ( від ),"Бензин, 1.2 л.",Автомат,False
216,Skoda,Kodiaq,2021,36757,без пробега,Харьков ( від ),"Дизель, 2.0 л.",Роботизированная,False
217,Skoda,Octavia,2020,23803,без пробега,Львов ( від ),"Бензин, 1.5 л.",Механическая,False
218,Volkswagen,Touareg,2021,71211,без пробега,Киев ( від ),"Бензин, 3.0 л.",Автомат,False
219,Land Rover,Range Rover,2020,212453,без пробега,Киев ( від ),"Бензин, 5.0 л.",Автомат,False
220,Infiniti,Q50,2021,31026,без пробега,Хмельницкий ( від ),"Бензин, 2.0 л.",Автомат,False
221,Fiat,Tipo,2021,13976,без пробега,Днепр (Днепропетровск) ( від ),"Бензин, 1.4 л.",Механическая,False
222,Mitsubishi,Outlander,2021,24565,без пробега,Киев ( від ),"Бензин, 2.0 л.",Вариатор,False
223,Skoda,Kodiaq,2021,36879,без пробега,Львов ( від ),"Дизель, 2.0 л.",Роботизированная,False
224,Nissan,X-Trail,2020,30394,без пробега,Ивано-Франковск ( від ),"Дизель, 1.6 л.",Вариатор,False
225,Ford,Tourneo Custom,2020,43035,без пробега,Ивано-Франковск ( від ),"Дизель, 2.0 л.",Механическая,False
226,Renault,Duster,2021,17017,без пробега,Киев ( від ),"Бензин, 1.6 л.",Механическая,False
227,Audi,RS Q8,2021,152987,без пробега,Днепр (Днепропетровск) ( від ),"Бензин, 4.0 л.",Автомат,False
228,Renault,Sandero StepWay,2021,16602,без пробега,Днепр (Днепропетровск) ( від ),"Дизель, 1.5 л.",Механическая,False
229,Mercedes-Benz,E-Class,2021,83104,без пробега,Киев ( від ),"Дизель, 2.0 л.",Автомат,False
230,Mitsubishi,Outlander,2021,21864,без пробега,Черкассы ( від ),"Бензин, 2.0 л.",Вариатор,False
231,Opel,Vivaro груз.,2021,37779,без пробега,Полтава ( від ),"Дизель, 2.0 л.",Механическая,False
232,Fiat,Doblo груз.,2020,17103,без пробега,Полтава ( від ),"Дизель, 1.2 л.",Механическая,False
233,Citroen,C5 Aircross,2021,31640,без пробега,Киев ( від ),"Дизель, 2.0 л.",Автомат,False
234,Land Rover,Range Rover,2021,298762,без пробега,Киев ( від ),"Бензин, 5.0 л.",Автомат,False
235,Opel,Grandland X,2020,28945,без пробега,Черкассы ( від ),"Дизель, 1.5 л.",Автомат,False
236,Volvo,XC40,2020,48465,без пробега,Полтава ( від ),"Дизель, 2.0 л.",Автомат,False
237,Land Rover,Range Rover,2021,195191,без пробега,Киев ( від ),"Бензин, 5.0 л.",Автомат,False
238,Land Rover,Range Rover,2021,225731,без пробега,Киев ( від ),"Бензин, 5.0 л.",Автомат,False
239,Land Rover,Range Rover,2021,296106,без пробега,Киев ( від ),"Бензин, 5.0 л.",Автомат,False
240,Land Rover,Range Rover,2021,209133,без пробега,Киев ( від ),"Дизель, 4.4 л.",Автомат,False
241,Land Rover,Range Rover,2021,304738,без пробега,Киев ( від ),"Бензин, 5.0 л.",Автомат,False
242,Land Rover,Range Rover,2021,219092,без пробега,Киев ( від ),"Бензин, 5.0 л.",Автомат,False
243,Land Rover,Range Rover,2021,239009,без пробега,Киев ( від ),"Бензин, 5.0 л.",Автомат,False
244,Land Rover,Range Rover,2021,195191,без пробега,Киев ( від ),"Дизель, 3.0 л.",Автомат,False
245,Land Rover,Range Rover,2021,224668,без пробега,Киев ( від ),"Бензин, 5.0 л.",Автомат,False
